n=256, r=463, bx=4, by=4, Device computation time: 20.093211 sec. [7.731817 gflops]
n=256, r=927, bx=4, by=8, Device computation time: 13.011172 sec. [23.906346 gflops]
n=256, r=1854, bx=4, by=16, Device computation time: 5.340353 sec. [116.490271 gflops]
n=256, r=927, bx=8, by=4, Device computation time: 11.446809 sec. [27.173475 gflops]
n=256, r=1854, bx=8, by=8, Device computation time: 3.719079 sec. [167.272372 gflops]
n=256, r=3708, bx=8, by=16, Device computation time: 4.066532 sec. [305.960551 gflops]
n=256, r=1854, bx=16, by=4, Device computation time: 3.102511 sec. [200.514739 gflops]
n=256, r=3708, bx=16, by=8, Device computation time: 3.737193 sec. [332.923235 gflops]
n=256, r=7417, bx=16, by=16, Device computation time: 7.077613 sec. [351.634397 gflops]
n=512, r=100, bx=4, by=4, Device computation time: 19.394836 sec. [13.840563 gflops]
n=512, r=201, bx=4, by=8, Device computation time: 8.006317 sec. [67.391193 gflops]
n=512, r=402, bx=4, by=16, Device computation time: 3.551992 sec. [303.804330 gflops]
n=512, r=201, bx=8, by=4, Device computation time: 6.931967 sec. [77.835810 gflops]
n=512, r=402, bx=8, by=8, Device computation time: 2.444924 sec. [441.367743 gflops]
n=512, r=805, bx=8, by=16, Device computation time: 4.006126 sec. [539.400241 gflops]
n=512, r=402, bx=16, by=4, Device computation time: 2.234060 sec. [483.026646 gflops]
n=512, r=805, bx=16, by=8, Device computation time: 3.694336 sec. [584.923910 gflops]
n=512, r=1610, bx=16, by=16, Device computation time: 7.869534 sec. [549.182561 gflops]
n=1024, r=17, bx=4, by=4, Device computation time: 24.428184 sec. [14.944714 gflops]
n=1024, r=35, bx=4, by=8, Device computation time: 7.387102 sec. [101.747517 gflops]
n=1024, r=71, bx=4, by=16, Device computation time: 3.583987 sec. [425.423806 gflops]
n=1024, r=35, bx=8, by=4, Device computation time: 6.739048 sec. [111.531967 gflops]
n=1024, r=71, bx=8, by=8, Device computation time: 2.640555 sec. [577.421530 gflops]
n=1024, r=142, bx=8, by=16, Device computation time: 5.116010 sec. [596.055678 gflops]
n=1024, r=71, bx=16, by=4, Device computation time: 2.348847 sec. [649.132656 gflops]
n=1024, r=142, bx=16, by=8, Device computation time: 4.304813 sec. [708.376147 gflops]
n=1024, r=284, bx=16, by=16, Device computation time: 10.111462 sec. [603.162380 gflops]
n=2048, r=2, bx=4, by=4, Device computation time: 23.014184 sec. [14.929810 gflops]
n=2048, r=5, bx=4, by=8, Device computation time: 7.965192 sec. [107.843411 gflops]
n=2048, r=11, bx=4, by=16, Device computation time: 4.165216 sec. [453.706512 gflops]
n=2048, r=5, bx=8, by=4, Device computation time: 7.414171 sec. [115.858329 gflops]
n=2048, r=11, bx=8, by=8, Device computation time: 3.033405 sec. [622.991562 gflops]
n=2048, r=22, bx=8, by=16, Device computation time: 5.944854 sec. [635.771914 gflops]
n=2048, r=11, bx=16, by=4, Device computation time: 2.673627 sec. [706.824730 gflops]
n=2048, r=22, bx=16, by=8, Device computation time: 5.288727 sec. [714.646679 gflops]
n=2048, r=44, bx=16, by=16, Device computation time: 11.789532 sec. [641.174092 gflops]
